run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,train_loss,train_bce,train_mr,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads
5o6uo9n4,run-20260405_045435-5o6uo9n4,arxiv,random_set,GAT,128,3,0.003222363596810648,0.0882866262103987,256,0.6329479813575745,0.6324368119239807,0.1526944637298584,0.4059829115867615,0.6307572722434998,0.42352235317230225,0.5,0.4218152165412903,0.5,84.0,3,full_power_set,7
408pw990,run-20260405_051421-408pw990,arxiv,random_set,GAT,256,3,0.07756392274431687,0.002578119809920403,256,5.270542621612549,5.270399570465088,0.1428571343421936,0.3465346395969391,5.3623433113098145,0.32649117708206177,0.5,0.3224351704120636,0.5,51.0,3,full_power_set,7
p3bs2o8p,run-20260405_053354-p3bs2o8p,arxiv,random_set,GAT,64,3,0.00390592350075096,0.05409846053473998,256,0.5997328758239746,0.5993253588676453,0.12027177959680557,0.4285714328289032,0.6047564744949341,0.4209173917770386,0.5,0.4188804626464844,0.5,51.0,3,full_power_set,7
pfla8ct1,run-20260405_054323-pfla8ct1,arxiv,random_set,GAT,128,2,0.09951515985752844,0.04277562692319277,256,0.5506182312965393,0.5504763126373291,0.035338144749403,0.4467005133628845,0.5573327541351318,0.41175204515457153,0.5499111413955688,0.42359459400177,0.5461506843566895,116.0,3,full_power_set,7
9vfyzqfj,run-20260405_060026-9vfyzqfj,arxiv,random_set,GAT,64,3,0.04814961801183096,0.07252495219802416,256,0.6145284175872803,0.6140474081039429,0.14290091395378113,0.5833333134651184,0.6219196319580078,0.4164506793022156,0.5,0.4185837209224701,0.5,66.0,3,full_power_set,7
tlgiztzk,run-20260405_061239-tlgiztzk,arxiv,random_set,GAT,256,3,0.09948648576148728,0.010096424063305236,256,0.5514677166938782,0.5514339804649353,0.010533200576901436,0.3617021143436432,0.5424322485923767,0.41553574800491333,0.5789660215377808,0.4200700521469116,0.5845133066177368,73.0,3,full_power_set,7
tuhfklb3,run-20260405_064033-tuhfklb3,arxiv,random_set,GAT,64,2,0.07795998095965094,0.04452411716943675,256,0.5699057579040527,0.5696994662284851,0.06662389636039734,0.3365384638309479,0.5665815472602844,0.417818546295166,0.5487216114997864,0.42072856426239014,0.5490236878395081,52.0,3,full_power_set,7
crib6wae,run-20260405_064717-crib6wae,arxiv,random_set,GAT,128,3,0.07513742798244533,0.012203157718667442,256,0.5294075012207031,0.5293697118759155,0.008768845349550247,0.4647887349128723,0.5404562950134277,0.41997671127319336,0.439291775226593,0.41317135095596313,0.4399771988391876,54.0,3,full_power_set,7
30keuvvp,run-20260405_070003-30keuvvp,arxiv,random_set,GAT,128,2,0.05714503825849063,0.016960955631827,256,0.5309243202209473,0.5308822989463806,0.008499638177454472,0.48695650696754456,0.5442630052566528,0.41613516211509705,0.5595353841781616,0.4201532304286957,0.562609851360321,154.0,3,full_power_set,7
eyzdoazb,run-20260405_072222-eyzdoazb,arxiv,random_set,GAT,64,2,0.08633178454035412,0.006361924979742002,256,0.5421075224876404,0.5420829653739929,0.008202253840863705,0.3786407709121704,0.5402758717536926,0.41767585277557373,0.5615999698638916,0.4158696234226227,0.571422278881073,65.0,3,full_power_set,7
g2jyfc1t,run-20260405_073044-g2jyfc1t,arxiv,random_set,GAT,256,3,0.01722723387108949,0.08107495550982001,256,0.6293823719024658,0.6288838982582092,0.1487836241722107,0.3636363744735718,0.6275502443313599,0.4123438596725464,0.5,0.42351627349853516,0.5,66.0,3,full_power_set,7
wngzskk3,run-20260405_075552-wngzskk3,arxiv,random_set,GAT,256,2,0.05778097219263123,0.09191750783158505,256,0.631465494632721,0.6309487223625183,0.15451717376708984,0.4406779706478119,0.6330157518386841,0.4148945212364197,0.5,0.4173429012298584,0.5,57.0,3,full_power_set,7
w25o17m2,run-20260405_080709-w25o17m2,arxiv,random_set,GAT,64,2,0.09153168503234552,0.049935607976099486,256,7.117932319641113,7.117361068725586,0.5713494420051575,0.3723404109477997,6.072325229644775,0.32632848620414734,0.5002209544181824,0.32548290491104126,0.5044386386871338,84.0,3,full_power_set,7
rudk6vqv,run-20260405_081752-rudk6vqv,arxiv,random_set,GAT,128,3,0.0824374482958905,0.02610860128276318,256,0.5509781837463379,0.5508951544761658,0.01818213425576687,0.4018264710903168,0.5480122566223145,0.41889724135398865,0.537815511226654,0.41879644989967346,0.5335017442703247,60.0,3,full_power_set,7
zunlmxq3,run-20260405_083207-zunlmxq3,arxiv,random_set,GAT,128,2,0.002461830622880361,0.05803341439558112,256,0.5575535893440247,0.5573627948760986,0.05082104355096817,0.4652777910232544,0.5623321533203125,0.4184691905975342,0.551080584526062,0.4198404550552368,0.5513666272163391,82.0,3,full_power_set,7
mccszbd0,run-20260405_084401-mccszbd0,arxiv,random_set,GAT,256,2,0.0314442383761082,0.06911854740218376,256,0.5868701338768005,0.586643397808075,0.060977157205343246,0.25,0.5781726241111755,0.42473304271698,0.5182749629020691,0.41542619466781616,0.5201238989830017,92.0,3,full_power_set,7
esbtd9r0,run-20260405_090156-esbtd9r0,arxiv,random_set,GAT,128,3,0.017926300918582577,0.012297397522654132,256,0.5977696776390076,0.5977384448051453,0.0060823336243629456,0.10526315867900848,0.5440566539764404,0.42110732197761536,0.557770311832428,0.4221368134021759,0.5513808131217957,88.0,3,full_power_set,7
im6okvp3,run-20260405_092247-im6okvp3,arxiv,random_set,GAT,64,3,0.08669408400281654,0.006513091808416099,256,0.5327568650245667,0.5327361822128296,0.007942656986415386,0.46464645862579346,0.5400786995887756,0.4202861189842224,0.46637725830078125,0.4189468324184418,0.47036269307136536,94.0,3,full_power_set,7
sqtb50yy,run-20260405_094002-sqtb50yy,arxiv,random_set,GAT,128,3,0.04702703499328144,0.04948521380292882,256,0.5951334238052368,0.5947645306587219,0.10818109661340714,0.4117647111415863,0.5953031778335571,0.4193437695503235,0.49586471915245056,0.4210049510002136,0.49846696853637695,83.0,3,full_power_set,7
2bl3ab2a,run-20260405_095936-2bl3ab2a,arxiv,random_set,GAT,64,2,0.08505000842757751,0.044799955422281226,256,0.5314944982528687,0.531352698802948,0.033706843852996826,0.6000000238418579,0.553007185459137,0.42054829001426697,0.4874860942363739,0.4191843271255493,0.4958268404006958,88.0,3,full_power_set,7
ow3dfxhn,run-20260405_101054-ow3dfxhn,arxiv,random_set,GAT,256,3,0.07852383624284644,0.0498109369470405,256,0.5643144845962524,0.5641332268714905,0.045982882380485535,0.37931033968925476,0.5622423887252808,0.4179569184780121,0.5311908721923828,0.4207952618598938,0.535355806350708,56.0,3,full_power_set,7
sdekmc72,run-20260405_103211-sdekmc72,arxiv,random_set,GAT,256,2,0.0827554394421885,0.061209635839001394,256,0.567672848701477,0.5674721598625183,0.05058632418513298,0.4545454680919647,0.5674178004264832,0.41623204946517944,0.5292965173721313,0.41756686568260193,0.5315253734588623,83.0,3,full_power_set,7
hoziuaqy,run-20260405_104824-hoziuaqy,arxiv,random_set,GAT,256,3,0.059463137044446904,0.07430155748032226,256,5.7094011306762695,5.7094011306762695,4.8345505376801157e-08,0.3767123222351074,5.347320079803467,0.4162401556968689,0.5,0.42364171147346497,0.5,113.0,3,full_power_set,7
xwny0cqb,run-20260405_113158-xwny0cqb,arxiv,random_set,GAT,128,3,0.07576147027179989,0.07572536625905754,256,0.6157695055007935,0.6152796149253845,0.14692316949367523,0.5,0.623443603515625,0.4199879765510559,0.5,0.420704185962677,0.5,65.0,3,full_power_set,7
g9xae6d4,run-20260405_114726-g9xae6d4,arxiv,random_set,GAT,64,3,0.05906124539235234,0.006624016478033662,256,0.5508016347885132,0.5507778525352478,0.011732111684978008,0.3486842215061188,0.5411019325256348,0.4158071279525757,0.4904007911682129,0.42168518900871277,0.4842846095561981,105.0,3,full_power_set,7
9rd7xyqd,run-20260405_120633-9rd7xyqd,arxiv,random_set,GAT,128,2,0.02519341007048572,0.026956022005166468,256,0.5539119839668274,0.5538367629051208,0.01658472791314125,0.4202898442745209,0.5479224920272827,0.41423654556274414,0.5584415793418884,0.4227789342403412,0.5572454929351807,135.0,3,full_power_set,7
cd5kvmld,run-20260405_122623-cd5kvmld,arxiv,random_set,GAT,256,3,0.006751408522243145,0.002690896512671858,256,0.5431578159332275,0.5431466698646545,0.005090740043669939,0.39453125,0.5385621190071106,0.4162759780883789,0.5738769769668579,0.42245301604270935,0.5687052011489868,91.0,3,full_power_set,7
g69j3c06,run-20260405_130041-g69j3c06,arxiv,random_set,GAT,128,2,0.08490655866544564,0.07009011207402376,256,0.5684916973114014,0.5682358741760254,0.07360707223415375,0.4529148042201996,0.5709885358810425,0.4176419973373413,0.535693347454071,0.417323499917984,0.5356711149215698,97.0,3,full_power_set,7
qb4bh4kj,run-20260405_131449-qb4bh4kj,arxiv,random_set,GAT,256,3,0.04149221497713558,0.07203829662976331,256,0.6221885681152344,0.621707022190094,0.14386644959449768,0.44171780347824097,0.6237062215805054,0.4194404184818268,0.5,0.41314998269081116,0.5,74.0,3,full_power_set,7
abcs45np,run-20260405_134250-abcs45np,arxiv,random_set,GAT,256,2,0.02159019586822077,0.09522083268206602,256,0.6355786919593811,0.635057270526886,0.15579980611801147,0.3765690326690674,0.633910059928894,0.415975958108902,0.5,0.422153502702713,0.5,98.0,3,full_power_set,7
subcz40s,run-20260405_140153-subcz40s,arxiv,random_set,GAT,256,3,0.08760919104332193,0.07499131635720971,256,0.6275901198387146,0.6271029114723206,0.14528235793113708,0.3333333432674408,0.6246440410614014,0.41701558232307434,0.5,0.41545915603637695,0.5,107.0,3,full_power_set,7
pbfkdafy,run-20260405_144304-pbfkdafy,arxiv,random_set,GAT,64,3,0.010881555646634176,0.020964066570200533,256,0.5469909310340881,0.5469192862510681,0.018871398642659187,0.42352941632270813,0.5452026128768921,0.42165353894233704,0.5315888524055481,0.42236077785491943,0.5406162738800049,71.0,3,full_power_set,7
0j0o291o,run-20260405_145605-0j0o291o,arxiv,random_set,GAT,256,3,0.014206101394080153,0.07757179918120947,256,0.622674286365509,0.6221822500228882,0.1465749740600586,0.4663677215576172,0.6252419352531433,0.41742467880249023,0.5,0.4199126660823822,0.5,109.0,3,full_power_set,7
ee60h766,run-20260405_153731-ee60h766,arxiv,random_set,GAT,256,3,0.060573952299842755,0.05372243563832314,256,0.601920485496521,0.6015160083770752,0.1199391558766365,0.5185185074806213,0.6053897142410278,0.41807374358177185,0.5,0.41801145672798157,0.5,130.0,3,full_power_set,7
