run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
txlec989,run-20260414_005408-txlec989,roman_empire,random_set,GAT,128,3,0.02168646167701487,0.0866132502254011,-1,False,full,False,False,False,0.6674726009368896,0.6639956831932068,0.2589850425720215,,0.11924846470355988,0.6674169301986694,0.11920276284217834,0.5,0.11924846470355988,0.5,62.0,13,budgeted,45,standard_focal_sets__full
5if2yy8f,run-20260414_005542-5if2yy8f,roman_empire,random_set,GAT,128,2,0.04119244664041741,0.08358608732831109,-1,False,full,False,False,False,0.6677618622779846,0.6614804267883301,0.2882603406906128,,0.13017638027668,0.6679192781448364,0.13031813502311707,0.4576646685600281,0.13036809861660004,0.4806867837905884,57.0,13,budgeted,45,standard_focal_sets__full
5l5vsngg,run-20260414_005706-5l5vsngg,roman_empire,random_set,GAT,64,3,0.0003057375557543481,0.046432455633302075,-1,False,full,False,False,False,0.6619247794151306,0.661293625831604,0.22213324904441833,,0.13017638027668,0.6617981791496277,0.13031813502311707,0.4417474567890167,0.13036809861660004,0.4339534342288971,200.0,13,budgeted,45,standard_focal_sets__full
fb8tnbli,run-20260414_010044-fb8tnbli,roman_empire,random_set,GAT,256,2,0.03115703436773583,0.041604203241060185,-1,False,full,False,False,False,0.46143627166748047,0.4602740705013275,0.09785440564155579,,0.03316717967391014,0.46158725023269653,0.033729396760463715,0.32733964920043945,0.030674846842885017,0.30522704124450684,70.0,13,budgeted,45,standard_focal_sets__full
cflifa7l,run-20260414_010233-cflifa7l,roman_empire,random_set,GAT,64,3,0.0285245414777777,0.08293536506268251,-1,False,full,False,False,False,0.6614625453948975,0.6608363389968872,0.2178950309753418,,0.06863497197628021,0.6613904237747192,0.06899195164442062,0.5001636147499084,0.06863497197628021,0.49997177720069885,62.0,13,budgeted,45,standard_focal_sets__full
pn7cy2oj,run-20260414_010415-pn7cy2oj,roman_empire,random_set,GAT,64,3,0.026994669172012327,0.07213831374971812,-1,False,full,False,False,False,0.6579769253730774,0.6564093828201294,0.23669977486133575,,0.03163343667984009,0.6579397320747375,0.03142966702580452,0.5,0.031441718339920044,0.5,61.0,13,budgeted,45,standard_focal_sets__full
26w38guq,run-20260414_010557-26w38guq,roman_empire,random_set,GAT,64,3,0.09412993769169418,0.06961206325662522,-1,False,full,False,False,False,0.6606142520904541,0.6590662598609924,0.23597724735736847,,0.03163343667984009,0.6608039736747742,0.03142966702580452,0.5,0.031441718339920044,0.5,54.0,13,budgeted,45,standard_focal_sets__full
ei23kywk,run-20260414_010726-ei23kywk,roman_empire,random_set,GAT,64,3,0.03142969685964501,0.08090546450963389,-1,False,full,False,False,False,0.6649616956710815,0.6614840030670166,0.258347749710083,,0.13017638027668,0.6648311614990234,0.13031813502311707,0.5,0.13036809861660004,0.5,61.0,13,budgeted,45,standard_focal_sets__full
4jn9lxyp,run-20260414_010906-4jn9lxyp,roman_empire,random_set,GAT,256,3,0.005435235834457769,0.09308190829684684,-1,False,full,False,False,False,0.6678982377052307,0.6634314060211182,0.27079737186431885,,0.13017638027668,0.6679075956344604,0.13031813502311707,0.5,0.13036809861660004,0.5,80.0,13,budgeted,45,standard_focal_sets__full
yjwscfm4,run-20260414_011147-yjwscfm4,roman_empire,random_set,GAT,64,3,0.02953191197548601,0.08745456803962777,-1,False,full,False,False,False,0.6666234135627747,0.6640568375587463,0.2496405392885208,,0.13017638027668,0.6665270924568176,0.13031813502311707,0.5,0.13036809861660004,0.5,61.0,13,budgeted,45,standard_focal_sets__full
